title,year,certificate,duration,genre,rating,description,stars,votes
How I Met Your Mother,(2005–2014),TV-14,22 min,"Comedy, Romance",8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"['Josh Radnor, ', 'Jason Segel, ', 'Cobie Smulders, ', 'Neil Patrick Harris']","6,76,121"
The School for Good and Evil,-2022,PG-13,147 min,"Action, Drama, Fantasy",,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,"['Paul Feig', '| ', '    Stars:', 'Cate Blanchett, ', 'Charlize Theron, ', 'Michelle Yeoh, ', 'Rachel Bloom']",
Heartbreak High,(2022– ),TV-MA,50 min,"Drama, Romance",7.6,"A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak.","['Ayesha Madon, ', 'James Majoos, ', 'Chloe Hayden, ', 'Asher Yasbincek']","1,502"
Wednesday,(2022– ),,,"Comedy, Family, Fantasy",,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents.","['Jenna Ortega, ', 'Christina Ricci, ', 'Catherine Zeta-Jones, ', 'Luis Guzmán']",
Community,(2009–2015),TV-14,22 min,Comedy,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"['Joel McHale, ', 'Danny Pudi, ', 'Donald Glover, ', 'Chevy Chase']","2,61,138"
Daredevil,(2015–2018),TV-MA,54 min,"Action, Crime, Drama",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","['Charlie Cox, ', ""Vincent D'Onofrio, "", 'Deborah Ann Woll, ', 'Elden Henson']","4,34,141"
Blue Bloods,(2010– ),TV-14,43 min,"Crime, Drama, Mystery",7.7,Revolves around a family of New York cops.,"['Donnie Wahlberg, ', 'Bridget Moynahan, ', 'Will Estes, ', 'Len Cariou']","40,037"
Bee and PuppyCat,(2013– ),TV-PG,7 min,"Animation, Short, Action",8.2,"Bee, an unemployed woman is living a normal life, until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and ""Fishbowl Space"".","['Allyn Rachel, ', 'Alexander James Rodriguez, ', 'Kent Osborne, ', 'Ashly Burch']","2,385"
Loving Adults,-2022,TV-MA,104 min,"Crime, Drama, Thriller",6.5,Follows a couple who appear to be living the perfect life after their son is declared healthy following a long-term illness.,"['Barbara Topsøe-Rothenborg', '| ', '    Stars:', 'Dar Salim, ', 'Sonja Richter, ', 'Sus Wilkins, ', 'Morten Burian']","5,861"
Schitt's Creek,(2015–2020),TV-14,22 min,Comedy,8.5,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.","['Eugene Levy, ', ""Catherine O'Hara, "", 'Dan Levy, ', 'Annie Murphy']","1,18,638"
