title,year,certificate,duration,genre,rating,description,stars,votes
Modern Family,(2009–2020),TV-PG,22 min,"Comedy, Drama, Romance",8.5,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"[""Ed O'Neill, "", 'Sofía Vergara, ', 'Julie Bowen, ', 'Ty Burrell']","4,23,963"
Ozark,(2017–2022),TV-MA,60 min,"Crime, Drama, Thriller",8.5,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","['Jason Bateman, ', 'Laura Linney, ', 'Sofia Hublitz, ', 'Skylar Gaertner']","3,09,552"
Echoes,-2022,TV-MA,326 min,"Drama, Mystery, Thriller",5.9,"Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns into chaos.","['Michelle Monaghan, ', 'Matt Bomer, ', 'Karen Robinson, ', 'Ali Stroker']","9,380"
The Gray Man,-2022,PG-13,122 min,"Action, Thriller",6.5,"When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","['Anthony Russo, ', 'Joe Russo', '| ', '    Stars:', 'Ryan Gosling, ', 'Chris Evans, ', 'Ana de Armas, ', 'Billy Bob Thornton']","1,72,136"
Me Time,-2022,R,101 min,Comedy,5,Follows a dad who finds time for himself for the first time in years while his wife and kids are away. He reconnects with a friend for a wild weekend.,"['John Hamburg', '| ', '    Stars:', 'Kevin Hart, ', 'Mark Wahlberg, ', 'Regina Hall, ', 'Che Tafari']","26,092"
Suits,(2011–2019),TV-14,44 min,"Comedy, Drama",8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","['Gabriel Macht, ', 'Patrick J. Adams, ', 'Meghan Markle, ', 'Sarah Rafferty']","4,05,863"
Vikings,(2013–2020),TV-MA,44 min,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","['Katheryn Winnick, ', 'Gustaf Skarsgård, ', 'Alexander Ludwig, ', 'Georgia Hirst']","5,24,630"
The Witcher,(2019– ),TV-MA,60 min,"Action, Adventure, Drama",8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","['Henry Cavill, ', 'Freya Allan, ', 'Anya Chalotra, ', 'Mimi Ndiweni']","4,81,837"
The Blacklist,(2013– ),TV-14,43 min,"Crime, Drama, Mystery",8,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","['James Spader, ', 'Megan Boone, ', 'Diego Klattenhoff, ', 'Ryan Eggold']","2,45,591"
Seinfeld,(1989–1998),TV-PG,22 min,Comedy,8.9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"['Jerry Seinfeld, ', 'Julia Louis-Dreyfus, ', 'Michael Richards, ', 'Jason Alexander']","3,14,089"
Lucifer,(2016–2021),TV-14,42 min,"Crime, Drama, Fantasy",8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"['Tom Ellis, ', 'Lauren German, ', 'Kevin Alejandro, ', 'D.B. Woodside']","3,18,928"
The Umbrella Academy,(2019–2023),TV-14,60 min,"Action, Adventure, Comedy",7.9,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","['Elliot Page, ', 'Tom Hopper, ', 'David Castañeda, ', 'Emmy Raver-Lampman']","2,43,344"
The Last Kingdom,(2015–2022),TV-MA,60 min,"Action, Drama, History",8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.","['Alexander Dreymon, ', 'Eliza Butterworth, ', 'Arnas Fedaravicius, ', 'Mark Rowley']","1,36,936"
Partner Track,(2022– ),TV-MA,60 min,Drama,6.8,"Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.","['Arden Cho, ', 'Alexandra Turshen, ', 'Bradley Gibson, ', 'Dominic Sherwood']","3,840"
Love in the Villa,-2022,TV-14,114 min,"Comedy, Romance",5.3,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.","['Mark Steven Johnson', '| ', '    Stars:', 'Kat Graham, ', 'Tom Hopper, ', 'Raymond Ablack, ', 'Laura Hopper']","7,048"
Black Mirror,(2011–2019),TV-MA,60 min,"Drama, Mystery, Sci-Fi",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","['Daniel Lapaine, ', 'Hannah John-Kamen, ', 'Michaela Coel, ', 'Beatrice Robertson-Jones']","5,35,782"
